No saved genome found.
Genome 10: Fitness 23.89
Genome 11: Fitness 56.91
Genome 12: Fitness 68.17
Genome 13: Fitness 46.17
Genome 14: Fitness 51.62
Genome 15: Fitness 63.29
Genome 16: Fitness 49.37
Genome 17: Fitness 16.60
Genome 18: Fitness 62.50
Genome 19: Fitness 14.85
Genome 20: Fitness 38.45
Genome 21: Fitness 82.33
Genome 22: Fitness 12.54
Genome 23: Fitness 64.13
Genome 24: Fitness 86.89
Genome 25: Fitness 51.50
Genome 26: Fitness 76.81
Genome 27: Fitness 10.89
Genome 28: Fitness 47.94
Genome 29: Fitness 62.69
Genome 30: Fitness 53.40
Genome 31: Fitness 55.24
Genome 32: Fitness 56.98
Genome 33: Fitness 52.83
Genome 34: Fitness 47.27
Genome 35: Fitness 31.10
Genome 36: Fitness 30.90
Genome 37: Fitness 88.49
Genome 38: Fitness 13.88
Genome 39: Fitness 80.54
Genome 40: Fitness 7.69
Genome 41: Fitness 35.42
Genome 42: Fitness 76.47
Genome 43: Fitness 31.66
Genome 44: Fitness 29.98
Genome 45: Fitness 33.09
Genome 46: Fitness 23.91
Genome 47: Fitness 90.59
Genome 48: Fitness 54.33
Genome 49: Fitness 34.67
Genome 50: Fitness 31.82
Best fitness: 92.84
Generation 16/100
Genome 1: Fitness 92.84
Genome 2: Fitness 92.80
Genome 3: Fitness 92.17
Genome 4: Fitness 87.11
Genome 5: Fitness 54.17
Genome 6: Fitness 50.93
Genome 7: Fitness 72.34
Genome 8: Fitness 51.98
Genome 9: Fitness 82.81
Genome 10: Fitness 93.83
Genome 11: Fitness 47.18
Genome 12: Fitness 25.80
Genome 13: Fitness 39.52
Genome 14: Fitness 52.46
Genome 15: Fitness 88.76
Genome 16: Fitness 57.77
Genome 17: Fitness 54.75
Genome 18: Fitness 29.20
Genome 19: Fitness 69.60
Genome 20: Fitness 36.06
Genome 21: Fitness 63.88
Genome 22: Fitness 33.45
Genome 23: Fitness 66.31
Genome 24: Fitness 35.36
Genome 25: Fitness 56.32
Genome 26: Fitness 85.37
Genome 27: Fitness 76.14
Genome 28: Fitness 85.52
Genome 29: Fitness 82.18
Genome 30: Fitness 46.48
Genome 31: Fitness 47.64
Genome 32: Fitness 31.13
Genome 33: Fitness 63.27
Genome 34: Fitness 81.38
Genome 35: Fitness 38.67
Genome 36: Fitness 51.28
Genome 37: Fitness 58.49
Genome 38: Fitness 7.38
Genome 39: Fitness 91.14
Genome 40: Fitness 74.42
Genome 41: Fitness 66.24
Genome 42: Fitness 81.64
Genome 43: Fitness 33.12
Genome 44: Fitness 40.97
Genome 45: Fitness 48.30
Genome 46: Fitness 81.66
Genome 47: Fitness 39.30
Genome 48: Fitness 56.52
Genome 49: Fitness 88.84
Genome 50: Fitness 62.69
Best fitness: 93.83
Saved best genome to bestModels/bestGenome__g100_m0.1_p50_uniform_gen100_e3_pop2_p50_e3.json
Generation 17/100
Genome 1: Fitness 93.83
Genome 2: Fitness 92.84
Genome 3: Fitness 92.80
Genome 4: Fitness 36.42
Genome 5: Fitness 8.46
Genome 6: Fitness 80.87
Genome 7: Fitness 69.93
Genome 8: Fitness 33.73
Genome 9: Fitness 58.12
Genome 10: Fitness 47.19
Genome 11: Fitness 34.04
Genome 12: Fitness 47.23
Genome 13: Fitness 79.25
Genome 14: Fitness 48.02
Genome 15: Fitness 63.63
Genome 16: Fitness 41.95
Genome 17: Fitness 81.75
Genome 18: Fitness 31.02
Genome 19: Fitness 86.50
Genome 20: Fitness 86.40
Genome 21: Fitness 35.88
Genome 22: Fitness 81.55
Genome 23: Fitness 79.05
Genome 24: Fitness 57.00
Genome 25: Fitness 58.10
Genome 26: Fitness 22.94
Genome 27: Fitness 52.17
Genome 28: Fitness 28.08
Genome 29: Fitness 67.44
Genome 30: Fitness 79.50
Genome 31: Fitness 80.08
Genome 32: Fitness 72.64
Genome 33: Fitness 49.05
Genome 34: Fitness 45.66
Genome 35: Fitness 35.69
Genome 36: Fitness 54.00
Genome 37: Fitness 12.01
Genome 38: Fitness 34.86
Genome 39: Fitness 86.79
Genome 40: Fitness 77.96
Genome 41: Fitness 86.71
Genome 42: Fitness 34.20
Genome 43: Fitness 46.97
Genome 44: Fitness 72.20
Genome 45: Fitness 47.72
Genome 46: Fitness 15.69
Genome 47: Fitness 86.57
Genome 48: Fitness 40.11
Genome 49: Fitness 36.94
Genome 50: Fitness 47.56
Best fitness: 93.83
Generation 18/100
Genome 1: Fitness 93.83
Genome 2: Fitness 92.84
Genome 3: Fitness 92.80
Genome 4: Fitness 81.72
Genome 5: Fitness 47.88
Genome 6: Fitness 58.27
Genome 7: Fitness 68.71
Genome 8: Fitness 43.39
Genome 9: Fitness 49.65
Genome 10: Fitness 34.07
Genome 11: Fitness 36.67
Genome 12: Fitness 34.96
Genome 13: Fitness 41.27
Genome 14: Fitness 88.87
Genome 15: Fitness 40.60
Genome 16: Fitness 72.31
Genome 17: Fitness 49.65
Genome 18: Fitness 86.43
Genome 19: Fitness 28.58
Genome 20: Fitness 85.80
Genome 21: Fitness 41.96
Genome 22: Fitness 36.10
Genome 23: Fitness 26.09
Genome 24: Fitness 31.17
Genome 25: Fitness 63.13
Genome 26: Fitness 37.75
Genome 27: Fitness 19.72
Genome 28: Fitness 69.17
Genome 29: Fitness 90.11
Genome 30: Fitness 90.42
Genome 31: Fitness 78.57
Genome 32: Fitness 46.63
Genome 33: Fitness 71.38
